n21,n16,19
n50,n28,19
n06,n45,19
n47,n77,19
n04,n69,19
n15,n47,19
n29,n16,19
n37,n22,19
n64,n32,19
n40,n28,19
n12,n55,18
n39,n16,18
n04,n05,18
n15,n05,18
n12,n46,18
n35,n45,18
n38,n29,18
n36,n09,18
n32,n28,18
n23,n61,18
n50,n61,18
n37,n64,18
n38,n34,18
n37,n76,17
n26,n53,17
n36,n53,17
n75,n16,17
n40,n14,17
n34,n57,17
n36,n35,17
n11,n69,17
n68,n38,17
n08,n77,17
n08,n19,17
n29,n63,17
n35,n63,17
n03,n06,17
n18,n19,17
n11,n33,17
n04,n46,17
n45,n05,17
n18,n56,17
n23,n22,17
n06,n39,17
n64,n33,17
n14,n09,16
n04,n55,16
n32,n09,16
n24,n34,16
n12,n66,16
n40,n59,16
n32,n77,16
n35,n03,16
n08,n69,16
n62,n61,16
n11,n13,16
n36,n52,16
n06,n16,16
n64,n45,16
n04,n78,16
n68,n57,16
n37,n69,16
n08,n56,16
n11,n77,16
n35,n29,16
n36,n28,16
n28,n45,16
n05,n02,16
n57,n14,15
n26,n09,15
n34,n39,15
n68,n34,15
n37,n05,15
n03,n53,15
n39,n53,15
n50,n69,15
n26,n63,15
n18,n13,15
n04,n02,15
n36,n61,15
n68,n29,15
n03,n60,15
n11,n19,15
n34,n63,15
n08,n33,15
n06,n14,15
n04,n56,15
n37,n61,15
n39,n52,15
n39,n60,15
n18,n44,15
n23,n05,14
n28,n34,14
n05,n53,14
n29,n53,14
n38,n24,14
n64,n40,14
n24,n03,14
n64,n29,14
n50,n22,14
n12,n76,14
n68,n24,14
n04,n70,14
n57,n29,14
n21,n09,14
n26,n56,14
n64,n50,14
n47,n52,14
n28,n29,14
n47,n02,13
n75,n53,13
n75,n59,13
n23,n76,13
n45,n76,13
n15,n29,13
n15,n14,13
n53,n22,13
n47,n61,13
n29,n14,13
n37,n77,13
n34,n16,13
n08,n25,13
n47,n69,13
n29,n09,13
n15,n21,13
n36,n60,13
n50,n70,13
n04,n07,13
n21,n39,13
n11,n01,13
n18,n01,13
n34,n15,13
n08,n44,13
n21,n61,13
n34,n53,12
n68,n39,12
n40,n06,12
n60,n53,12
n32,n15,12
n38,n14,12
n04,n66,12
n56,n45,12
n11,n56,12
n63,n76,12
n75,n06,12
n12,n69,12
n36,n63,12
n37,n28,12
n35,n39,12
n11,n25,12
n18,n25,12
n57,n21,12
n03,n14,12
n45,n55,12
n12,n19,12
n04,n25,12
n18,n33,12
n68,n53,12
n75,n57,12
n57,n06,12
n47,n55,12
n56,n47,12
n64,n16,12
n47,n46,12
n26,n60,11
n57,n77,11
n37,n55,11
n24,n29,11
n21,n06,11
n45,n60,11
n15,n45,11
n03,n15,11
n40,n63,11
n26,n05,11
n35,n21,11
n03,n52,11
n06,n60,11
n14,n05,11
n47,n60,11
n04,n33,11
n03,n77,11
n04,n62,11
n32,n22,11
n36,n76,11
n08,n67,11
n11,n67,11
n45,n52,11
n12,n77,11
n57,n53,11
n40,n57,11
n18,n70,11
n37,n70,11
n38,n56,11
n68,n14,10
n50,n55,10
n50,n05,10
n52,n62,10
n21,n52,10
n53,n02,10
n12,n62,10
n75,n15,10
n75,n05,10
n04,n48,10
n32,n56,10
n11,n78,10
n11,n70,10
n06,n53,10
n23,n07,10
n36,n69,10
n26,n52,10
n16,n59,10
n64,n12,10
n38,n16,10
n18,n78,10
n50,n25,10
n35,n34,10
n03,n57,10
n14,n07,10
n18,n72,10
n37,n78,10
n23,n69,10
n29,n06,10
n40,n09,10
n11,n62,10
n47,n25,10
n47,n22,10
n57,n39,10
n34,n56,10
n47,n07,10
n68,n21,10
n23,n77,10
n37,n66,10
n36,n33,10
n08,n78,10
n37,n02,10
n50,n56,10
n23,n62,10
n24,n06,10
n39,n61,10
n32,n61,10
n40,n05,10
n50,n46,10
n75,n46,10
n23,n78,10
n45,n78,10
n75,n28,10
