n18,n11,1406
n18,n11,1406
n08,n18,1341
n08,n11,1006
n18,n12,960
n08,n12,718
n04,n18,663
n11,n12,644
n04,n08,575
n04,n11,560
n37,n04,558
n23,n18,454
n04,n23,446
n08,n23,388
n37,n18,383
n23,n11,379
n04,n50,378
n18,n50,374
n04,n12,366
n04,n47,360
n18,n47,354
n37,n08,332
n08,n47,327
n37,n11,324
n08,n50,323
n04,n32,312
n37,n23,303
n50,n11,302
n11,n47,293
n04,n45,292
n08,n32,286
n32,n18,285
n50,n47,274
n36,n18,267
n18,n59,260
n32,n50,259
n23,n12,257
n23,n47,251
n18,n45,245
n18,n06,239
n36,n08,237
n32,n11,235
n23,n50,233
n08,n45,232
n18,n14,224
n50,n12,224
n37,n50,216
n26,n18,212
n32,n47,211
n11,n45,210
n26,n08,205
n12,n47,204
n18,n34,201
n37,n47,201
n23,n32,195
n37,n12,194
n37,n45,190
n36,n11,190
n11,n59,187
n18,n29,184
n18,n53,182
n23,n45,173
n08,n34,172
n18,n09,169
n36,n04,169
n08,n29,166
n37,n32,165
n75,n18,162
n11,n06,160
n18,n21,159
n08,n59,155
n50,n45,152
n11,n29,150
n36,n12,150
n26,n11,150
n08,n75,149
n12,n14,148
n11,n53,148
n08,n14,147
n04,n03,147
n26,n75,145
n18,n03,145
n12,n45,145
n08,n21,145
n11,n34,144
n11,n14,142
n18,n39,140
n32,n12,140
n08,n40,139
n12,n59,138
n04,n29,137
n08,n06,137
n08,n03,136
n11,n21,134
n18,n40,133
n04,n39,131
n47,n45,128
n36,n23,128
n26,n12,127
n08,n39,126
n12,n34,126
n04,n21,126
n37,n36,125
n50,n03,123
n08,n53,123
n11,n03,122
n04,n26,119
n36,n47,118
n75,n12,117
n75,n11,116
n08,n16,114
n18,n16,112
n11,n09,110
n36,n26,109
n12,n53,108
n36,n45,108
n36,n50,108
n37,n21,107
n11,n40,106
n11,n39,105
n04,n40,103
n04,n59,103
n26,n50,102
n12,n21,101
n08,n09,100
n37,n29,100
n12,n06,100
n32,n45,98
n03,n47,98
n26,n47,98
n11,n16,96
n23,n39,95
n04,n34,95
n04,n16,93
n50,n39,90
n23,n29,90
n32,n03,90
n47,n29,88
n50,n29,87
n26,n23,85
n37,n03,84
n29,n45,83
n23,n21,83
n04,n75,82
n36,n32,82
n47,n39,80
n68,n08,78
n23,n03,78
n04,n14,78
n08,n15,78
n36,n40,77
n37,n39,77
n12,n29,75
n40,n47,75
n18,n15,75
n04,n53,74
n08,n57,73
n12,n03,73
n08,n38,73
n50,n40,73
n04,n06,73
n12,n39,71
n32,n39,70
n26,n32,70
n34,n47,69
n40,n12,69
n23,n34,68
n37,n26,68
n26,n45,68
n47,n21,67
n12,n16,66
n37,n40,66
n21,n45,66
n68,n18,65
n18,n57,65
n50,n21,65
n32,n29,65
n23,n40,64
n18,n60,62
n18,n05,62
n36,n29,62
n18,n63,61
n18,n24,61
n50,n34,61
n04,n57,60
n75,n47,60
n38,n18,58
n18,n61,58
n75,n50,58
n32,n57,58
n32,n40,57
n37,n16,57
n57,n47,57
n23,n16,56
n68,n04,56
n23,n75,56
n12,n09,56
n38,n11,56
n11,n57,56
n23,n53,55
n26,n24,55
n08,n35,55
n36,n21,53
n35,n18,53
n40,n45,53
n08,n64,53
n11,n05,52
n32,n34,52
n12,n15,52
n39,n45,52
n68,n11,51
n23,n59,51
n75,n34,51
n04,n09,51
n11,n15,51
n11,n24,50
n68,n47,50
n08,n60,49
n23,n06,49
n32,n21,48
n08,n05,48
n04,n63,48
n50,n57,48
n36,n34,48
n37,n75,48
n08,n61,48
n75,n45,48
n37,n59,48
n08,n63,48
n38,n12,47
n18,n52,47
n50,n63,46
n36,n75,46
n50,n53,46
n64,n18,46
n12,n57,45
n50,n14,45
n04,n24,45
n34,n45,45
n47,n16,45
n26,n40,45
n36,n68,45
n50,n16,44
n08,n24,44
n03,n45,44
n16,n45,44
n35,n11,44
n26,n29,44
n23,n14,44
n37,n06,44
n11,n60,43
n08,n28,43
n50,n06,43
n18,n28,43
n68,n26,43
n32,n63,43
n03,n29,43
n37,n14,42
n47,n06,42
n32,n14,42
n11,n63,42
n04,n35,42
n04,n38,42
